V,Vcorrect,gene,species,Done
TRBV10,TRBV10-1,TRBV,Human,yes
TRBV10-01,TRBV10-1,TRBV,Human,yes
TRBV10-02,TRBV10-2,TRBV,Human,yes
TRBV10-03,TRBV10-3,TRBV,Human,yes
TRBV11,TRBV11-1,TRBV,Human,yes
TRBV11-01,TRBV11-1,TRBV,Human,yes
TRBV11-02,TRBV11-2,TRBV,Human,yes
TRBV11-03,TRBV11-3,TRBV,Human,yes
TRBV12,TRBV12-1,TRBV,Human,yes
TRBV12-01,TRBV12-1,TRBV,Human,yes
TRBV12-02,TRBV12-2,TRBV,Human,yes
TRBV12-03,TRBV12-3,TRBV,Human,yes
TRBV12-03/4,TRBV12-3,TRBV,Human,yes
TRBV12-04,TRBV12-4,TRBV,Human,yes
TRBV12-05,TRBV12-5,TRBV,Human,yes
TRBV12-3/12-4,TRBV12-3,TRBV,Human,yes
TRBV12-3/4,TRBV12-3,TRBV,Human,yes
TRBV13-01,TRBV13,TRBV,Human,yes
TRBV13-06,TRBV13,TRBV,Human,yes
TRBV13-1,TRBV13,TRBV,Human,yes
TRBV13-2,TRBV13,TRBV,Human,yes
TRBV14-01,TRBV14,TRBV,Human,yes
TRBV14-1,TRBV14,TRBV,Human,yes
TRBV15-01,TRBV15,TRBV,Human,yes
TRBV15-02,TRBV15,TRBV,Human,yes
TRBV15-1,TRBV15,TRBV,Human,yes
TRBV16-01,TRBV16,TRBV,Human,yes
TRBV16-1,TRBV16,TRBV,Human,yes
TRBV17-1,TRBV17,TRBV,Human,yes
TRBV18-01,TRBV18,TRBV,Human,yes
TRBV18-1,TRBV18,TRBV,Human,yes
TRBV19-01,TRBV19,TRBV,Human,yes
TRBV19-1,TRBV19,TRBV,Human,yes
TRBV2-01,TRBV2,TRBV,Human,yes
TRBV2-03,TRBV2,TRBV,Human,yes
TRBV2-05,TRBV2,TRBV,Human,yes
TRBV2-1,TRBV2,TRBV,Human,yes
TRBV2-1/TRBV2-2,TRBV2,TRBV,Human,yes
TRBV2-1/TRBV2-3,TRBV2,TRBV,Human,yes
TRBV2-2,TRBV2,TRBV,Human,yes
TRBV2-6,TRBV2,TRBV,Human,yes
TRBV2-7,TRBV2,TRBV,Human,yes
TRBV20,TRBV20-1,TRBV,Human,yes
TRBV20-01,TRBV20-1,TRBV,Human,yes
TRBV201-1,TRBV20-1,TRBV,Human,yes
TRBV21,TRBV21-1,TRBV,Human,yes
TRBV21-01,TRBV21-1,TRBV,Human,yes
TRBV21-03,TRBV21-1,TRBV,Human,yes
TRBV23,TRBV23-1,TRBV,Human,yes
TRBV23-01,TRBV23-1,TRBV,Human,yes
TRBV23/DV6,TRBV23/OR9-2,TRBV,Human,yes
TRBV24,TRBV24-1,TRBV,Human,yes
TRBV24-01,TRBV24-1,TRBV,Human,yes
TRBV25,TRBV25-1,TRBV,Human,yes
TRBV25-01,TRBV25-1,TRBV,Human,yes
TRBV25-X,TRBV25-1,TRBV,Human,yes
TRBV26-1,TRBV26,TRBV,Human,yes
TRBV26-2,TRBV26,TRBV,Human,yes
TRBV27-01,TRBV27,TRBV,Human,yes
TRBV27-1,TRBV27,TRBV,Human,yes
TRBV28-01,TRBV28,TRBV,Human,yes
TRBV28-1,TRBV28,TRBV,Human,yes
TRBV29,TRBV29-1,TRBV,Human,yes
TRBV29-01,TRBV29-1,TRBV,Human,yes
TRBV29/DV5,TRBV29/OR9-2,TRBV,Human,yes
TRBV3,TRBV3-1,TRBV,Human,yes
TRBV3-01,TRBV3-1,TRBV,Human,yes
TRBV3-02,TRBV3-2,TRBV,Human,yes
TRBV3-1/3-2,TRBV3-1,TRBV,Human,yes
TRBV30-01,TRBV30,TRBV,Human,yes
TRBV30-1,TRBV30,TRBV,Human,yes
TRBV4,TRBV4-1,TRBV,Human,yes
